 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 60
   itrial ......: 5918
   kappa .......: 0.14
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  3.8352294426701967D-02
   csupn ..:  9.2336084056565682D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  5918
   #evalf .:  1137
   #evalg .:  376
   #evalc .:  1327
   #evalj .:  376
   #evalhl :  402
   outiter :  21
   totiter :  192
   nwcalls :  21
   nwtotit :  210
   opt time:  1.63 seconds

 BALLS (index, center abcissa, center ordinate)
  1   5.9901934516762145D-01   2.9267724241657078D-01
  2   5.9289584978887022D-01   3.5270627860604298D-01
  3   6.0303192313514242D-01   4.0170130417003141D-01
  4   6.5613985873516645D-01   4.1779737059039324D-01
  5   6.9488563388418068D-01   4.7500871151587010D-01
  6   7.3326152098441089D-01   5.2974790334037059D-01
  7   5.8915819494743282D-01   4.5312415218595653D-01
  8   6.3025848351726321D-01   4.7530307466686128D-01
  9   6.6422958777190977D-01   5.2693684463129908D-01
 10   6.9960165112190553D-01   5.7298772166845657D-01
 11   7.6050914969714278D-01   5.8815889800385512D-01
 12   5.9109487296420749D-01   5.1740217612993789D-01
 13   6.1514075020573178D-01   5.6728302366105043D-01
 14   6.5966840044131059D-01   6.0049996994369881D-01
 15   7.1969504100400961D-01   6.3690058554653084D-01
 16   5.5685597300884659D-01   5.7703535549206197D-01
 17   5.9999212961999870D-01   6.3224188717232177D-01
 18   6.6047205647828366D-01   6.6218365183127836D-01
 19   5.4070018161231836D-01   6.3833171332041627D-01
 20   5.6881057450993988D-01   6.9641838534085676D-01
 21   6.1536910217688989D-01   7.0006473767502497D-01
 22   5.0106919181705767D-01   7.2817342946389807D-01
 23   4.6086194365461131D-01   7.8249999992085972D-01
 24   5.3744846761102183D-01   8.2624973788204514D-01
 25   4.1399441468218712D-01   8.0118719766162083D-01
 26   4.2605225139801700D-01   8.6722752587970575D-01
 27   4.9289681687639464D-01   8.8366426204932491D-01
 28   5.4205004118859856D-01   8.9680053333841736D-01
 29   5.6158790048599361D-01   9.5852273743575245D-01
 30   6.1721171322436197D-01   9.7999379329962522D-01
 31   3.6610724616110962D-01   8.5171172159050956D-01
 32   4.4557198527708980D-01   9.2895632918122739D-01
 33   5.0021201929972026D-01   9.5502585710386989D-01
 34   5.2556619464565268D-01   1.0168977635156322D+00
 35   5.8491028819893087D-01   1.0242725299311313D+00
 36   6.5296121997556245D-01   1.0400540135159710D+00
 37   3.2211938448113592D-01   9.0707740359961841D-01
 38   3.8038920248217944D-01   9.1804179916426254D-01
 39   3.9806020340267223D-01   9.7734273007405892D-01
 40   4.5729533067316758D-01   9.9665156585651182D-01
 41   4.8045555935824030D-01   1.0526291750500891D+00
 42   6.0149741792517275D-01   1.0833863446782104D+00
 43   3.3017831854450191D-01   9.6302204985818596D-01
 44   3.5056922603381230D-01   1.0231789213018858D+00
 45   4.1057033348028188D-01   1.0452503476127595D+00
 46   4.2797704095908967D-01   1.0991399965860182D+00
 47   4.8672750294271749D-01   1.1177078605508699D+00
 48   5.3755356531293730D-01   1.1583213228480882D+00
 49   3.0997103248208341D-01   1.0549867055807234D+00
 50   3.6467225897283800D-01   1.0915197180509995D+00
 51   4.6230009283546325D-01   1.1602107096194916D+00
 52   5.5890572827535290D-01   1.1937674399164515D+00
 53   3.0211290544144825D-01   1.1149840487898708D+00
 54   3.4356968442845348D-01   1.1591009039215787D+00
 55   3.9731336080144147D-01   1.1546950558701807D+00
 56   1.6575959746085953D-01   1.1099734207424288D+00
 57   2.3479648883390844D-01   1.1211528505828734D+00
 58   2.8362556466409805D-01   1.1720169523325801D+00
 59   1.6794372946432232D-01   1.1552482268555151D+00
 60   2.1808662530396289D-01   1.1806641696210429D+00
