 PROBLEM SUMMARY
   problem .....: cesaro    
   nballs ......: 50
   itrial ......: 2386
   kappa .......: 0.41
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 7.2201653705684687D-01
   pol perimeter: 7.1111111111111018D+00

 OPTIMIZATION SUMMARY
   r ......:  8.2972121845536151D-02
   csupn ..:  8.7475900967248776D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  2386
   #evalf .:  167
   #evalg .:  307
   #evalc .:  340
   #evalj .:  307
   #evalhl :  305
   outiter :  19
   totiter :  115
   nwcalls :  19
   nwtotit :  190
   opt time:  0.51 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.4444232122249505D-01   6.1630262500326619D-02
  2   8.3927711456308773D-01   9.8835571990416482D-02
  3   9.2749374863304423D-01   2.1972573811455809D-01
  4   9.4048352436321958D-01   3.1790470321922953D-01
  5   7.1422877746264735D-01   4.9977752179623386D-02
  6   7.7414971426996526D-01   2.0140990610187459D-01
  7   8.2023222628594472D-01   3.1918602026416171D-01
  8   9.2895555574934763D-01   6.8046818429832412D-01
  9   9.4227834748637784D-01   7.8297312430534238D-01
 10   9.4443332158874005D-01   9.3836241459791359D-01
 11   6.4704081939412617D-01   1.4184290216969728D-01
 12   6.7271061569953206D-01   2.9244893153516205D-01
 13   7.2744472110940028D-01   4.2281579678023690D-01
 14   7.4338954387003486D-01   5.6784085873126455D-01
 15   8.0739441615863550D-01   7.0342849381300643D-01
 16   8.3284917217462440D-01   8.4495589384562342D-01
 17   7.8973600839800318D-01   9.6112107121642820D-01
 18   5.6218194370273911D-01   2.7319295154285012D-01
 19   5.8878183138555407D-01   4.1699598134315530D-01
 20   6.2363251107013939D-01   5.4003688296960362D-01
 21   6.6260112312910369D-01   6.7037108718607108D-01
 22   6.9872253356635572D-01   8.0108367047335605D-01
 23   6.9134232481310920D-01   9.2090271204975804D-01
 24   3.2062869839401575D-01   7.2900463391048664D-02
 25   4.1608947732237245D-01   2.6212575049778342D-01
 26   4.6092950367128283D-01   3.8554779903438696D-01
 27   4.7933527459822212D-01   5.2624651866835126D-01
 28   5.1921808947797565D-01   6.4608938476790478D-01
 29   5.5184703165451543D-01   7.5492712443714483D-01
 30   2.1887823605484547D-01   5.5032811863707336D-02
 31   2.8824069035407640D-01   1.8701919035446726D-01
 32   3.4036105795264593D-01   3.3936666531630066D-01
 33   3.5212425184677321D-01   4.8855024583511031D-01
 34   3.7044583376908097D-01   6.3210232089539675D-01
 35   3.9741324153297375D-01   7.3918992444109255D-01
 36   5.5566035889226234D-02   6.1641684399000363D-02
 37   1.4023783570660767D-01   1.5561805946968410D-01
 38   2.1423198934635168D-01   2.8734096423643640D-01
 39   2.3751299814682458D-01   4.3708008575303375D-01
 40   2.4149822368614018D-01   5.8918987663199884D-01
 41   2.4434661751002398D-01   7.2448367428964811D-01
 42   2.8841278017520616D-01   8.4044802210564507D-01
 43   3.1808186025438318D-01   9.3316270171206606D-01
 44   6.9607357199667666D-02   2.6737966124973023D-01
 45   8.0678822730959054D-02   3.3191104980698311D-01
 46   1.1498829929550741D-01   6.8017899896357070D-01
 47   1.3494751698749793D-01   8.2438618063562097D-01
 48   2.0609651048944613D-01   9.4572824708295078D-01
 49   4.7083008254256195D-02   7.2590440258255007D-01
 50   5.5572145194868201D-02   9.3835635191689004D-01
