 PROBLEM SUMMARY
   problem .....: regpol    
   nvert .......: 3
   nballs ......: 80
   itrial ......: 1186
   kappa .......: 0.84
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.2990381056766580D+00
   pol perimeter: 5.1961524227066320D+00

 OPTIMIZATION SUMMARY
   r ......:  8.2742840493430600D-02
   csupn ..:  9.6617109868191164D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  1186
   #evalf .:  1438
   #evalg .:  398
   #evalc .:  1646
   #evalj .:  398
   #evalhl :  397
   outiter :  23
   totiter :  167
   nwcalls :  23
   nwtotit :  230
   opt time:  0.97 seconds

 BALLS (index, center abcissa, center ordinate)
  1   7.9489757227338742D-01  -4.5769528857126240D-01
  2   6.5304582518139498D-01  -4.5705265395289174D-01
  3   7.2308332483760052D-01  -3.3202616560578840D-01
  4   5.1189586384087093D-01  -4.5653733274076669D-01
  5   5.8153072399684891D-01  -3.3086811517094467D-01
  6   6.5084280099277514D-01  -2.0586776124852010D-01
  7   3.7132254360713474D-01  -4.5611666943076473D-01
  8   4.4062527374810773D-01  -3.2993262904477494D-01
  9   5.0953478592026047D-01  -2.0428979949822595D-01
 10   5.7826588098915477D-01  -7.9317809099022932D-02
 11   2.3129346408722845D-01  -4.5566764374725321D-01
 12   3.0009812791246360D-01  -3.2941082926907039D-01
 13   3.6836552632063857D-01  -2.0375230910412467D-01
 14   4.3668971344239144D-01  -7.8144908059609511D-02
 15   5.0482488282869020D-01   4.6593677517087782D-02
 16   9.2351937011344962D-02  -4.5442425834194050D-01
 17   1.6029091195759365D-01  -3.2791798674542194D-01
 18   2.2746753252098734D-01  -2.0284109962797739D-01
 19   2.9550892520318039D-01  -7.7586584974820766D-02
 20   3.6312951238665314D-01   4.7983243525489327D-02
 21   4.3224862904382505D-01   1.7273997805148680D-01
 22  -4.4089934246978858D-02  -4.5195379714702405D-01
 23   2.2037703522953329D-02  -3.2461811929996154D-01
 24   8.6299405153784453D-02  -2.0132614126382825D-01
 25   1.5389556113926547D-01  -7.7064892445356414D-02
 26   2.2151040284262755D-01   4.7850104801444707D-02
 27   2.9011746167885794D-01   1.7343901993515687D-01
 28   3.5899272544437855D-01   2.9817631040999076D-01
 29  -1.7831011362319824D-01  -4.5122607035916118D-01
 30  -1.1447669287764468D-01  -3.2052355460641402D-01
 31  -5.6185102243378839D-02  -1.9898750524085071D-01
 32   1.1779171171147965D-02  -7.5495286615401502D-02
 33   7.9251694632594544D-02   4.7928321668072996D-02
 34   1.4822893113522043D-01   1.7287791582191134D-01
 35   2.1659150371624539D-01   2.9844927843746943D-01
 36   2.8629913930430284D-01   4.2319460376796342D-01
 37  -3.0099723623584757D-01  -4.3892822293012851D-01
 38  -2.4342120948974338D-01  -3.1326751174952927D-01
 39  -1.9965821045187199D-01  -1.9655885310038751D-01
 40  -1.3123387945275128D-01  -7.3916437129337528D-02
 41  -6.4033663156207732D-02   4.9130826158331739D-02
 42   5.7685847876696285D-03   1.7263635967702021D-01
 43   7.4501690588385780D-02   2.9756880107824379D-01
 44   1.4369798901230391D-01   4.2315125602038528D-01
 45   2.1392228076597936D-01   5.4789436714779705D-01
 46  -4.2413242787723282D-01  -4.5187140000610321D-01
 47  -3.8088018689048375D-01  -3.0901219931374718D-01
 48  -3.4464901243020352D-01  -1.9527347463493147D-01
 49  -2.7581522115498952D-01  -7.3385288451707720D-02
 50  -2.0836455281768113D-01   4.9199744152523497D-02
 51  -1.3837302220265585D-01   1.7236385741678689D-01
 52  -6.8810798174372120D-02   2.9585917628898772D-01
 53   7.6267731880477166D-04   4.2080976547537630D-01
 54   7.0478443763570486D-02   5.4639960038009350D-01
 55   1.4109083395647895D-01   6.7114247454806397D-01
 56  -5.5824378259371998D-01  -4.5116411742374102D-01
 57  -4.8358016356740957D-01  -3.3465384562507916D-01
 58  -4.8999666322653368D-01  -1.9508290252023749D-01
 59  -4.2128316673512600D-01  -7.2965459205176691D-02
 60  -3.5342516074410890D-01   4.8872433795114870D-02
 61  -2.8317725845554798D-01   1.7157949845478013D-01
 62  -2.1342557052048142D-01   2.9473727568060265D-01
 63  -1.4301871519776890D-01   4.1825301846274476D-01
 64  -7.2923460620425082D-02   5.4321398214553140D-01
 65  -2.8206414973456799D-03   6.6881008716821100D-01
 66   6.9467371293499960D-02   7.9354532228659935D-01
 67  -6.7879784112096875D-01  -4.3709831447520253D-01
 68  -6.0052218441797311D-01  -3.0631437774059211D-01
 69  -6.3575998004773038D-01  -1.9079307812178961D-01
 70  -5.6574625841614312D-01  -7.1187776808506950D-02
 71  -4.9801840578846074D-01   5.0863112228945358D-02
 72  -4.2736627723757681D-01   1.7281373641274153D-01
 73  -3.5736693900355387D-01   2.9550441805314498D-01
 74  -2.8677450565130036D-01   4.1867285096915630D-01
 75  -2.1584947413817057D-01   5.4218844092352603D-01
 76  -1.4537132225039964D-01   6.6714758765813431D-01
 77  -7.3604051956733155D-02   7.9273389624814117D-01
 78  -4.6538611296429127D-04   9.1724133359199622D-01
 79  -7.9929194347286237D-01  -4.5105721145149158D-01
 80  -7.3485864753711838D-01  -3.0735283247590206D-01
