 PROBLEM SUMMARY
   problem .....: stoyan    
   nballs ......: 50
   itrial ......: 4147
   kappa .......: 0.81
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 6.9111111111111101D-01
   pol perimeter: 7.0086495082125433D+00

 OPTIMIZATION SUMMARY
   r ......:  8.1551163554921549D-02
   csupn ..:  8.4404033762197628D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  4147
   #evalf .:  1211
   #evalg .:  397
   #evalc .:  1406
   #evalj .:  397
   #evalhl :  392
   outiter :  21
   totiter :  182
   nwcalls :  21
   nwtotit :  210
   opt time:  0.93 seconds

 BALLS (index, center abcissa, center ordinate)
  1   8.5801180592552273D-01  -7.5024221456910858D-02
  2   8.3793493225059423D-01   3.6768598437691431D-02
  3   1.3886960318365366D-01   6.1887269023822111D-01
  4   1.1248538775744508D-01  -3.6908653309593913D-02
  5   8.3482784364703744D-01   6.1429455587370563D-01
  6   3.5893565753652872D-02   3.6491460588734909D-01
  7   9.5051232910303041D-01   5.4292083431929383D-01
  8   4.8967409639875198D-01   4.0831016838220413D-01
  9   2.8409352788361597D-01   1.4261061199416764D-01
 10   1.8831027579371479D-01   5.7575139101891389D-02
 11   9.6309539492877350D-01   2.5406723709831880D-01
 12   2.4686625600477488D-01  -7.6492250128432207D-02
 13   9.4757141781888632D-01   1.1886352755542226D-01
 14   9.6053853300500391D-01  -1.6798605085571913D-01
 15   6.0910951670604056D-02   1.1123466568413541D-01
 16   4.6818248445951567D-02  -1.7258847818041184D-01
 17   5.3821247453144938D-01   6.1343108015052283D-01
 18   6.1879630898977689D-01   3.1193291842712949D-02
 19   4.7983959349894700D-01   4.6768040899687287D-02
 20   5.8366991254268530D-01   3.1808160160901511D-01
 21   5.5008533388333547D-01   1.6218024125807406D-01
 22   6.6666099434235085D-02  -2.8635318298551288D-01
 23   2.6520508069000137D-01   6.1169577055076951D-01
 24   8.2930883728519500D-01   1.8598966001688425D-01
 25   6.4548755528271362D-01   1.8342741401019819D-01
 26   7.2430847425014233D-01  -6.7787800872369547D-02
 27   3.9496978787752896D-01   1.3795993420048946D-01
 28   1.6309247204986510D-01  -1.7817680990863616D-01
 29   3.3205278450024606D-01   9.7440873626199777D-03
 30   5.1666991882303490D-02   2.2858977131935304D-01
 31   3.3961994727238037D-01   5.0888159108482600D-01
 32   7.3633197857645949D-01   8.0789609792640230D-02
 33   3.6383733867886639D-02   5.9368162322556328D-01
 34   4.7702077917992730D-01   5.1227635015430217D-01
 35   7.0347466892611191D-02   4.7940461049690125D-01
 36   8.1770060096384245D-01  -1.8580449958089398D-01
 37   9.3333055074533766D-01  -2.8633818636020153D-01
 38   9.6950403328321788D-01   4.0244717911214739D-01
 39   1.5578995574985063D-01   2.0457406904163586D-01
 40   1.5346806108370278D-01   3.4985232320231147D-01
 41   3.8084905622489723D-01   3.4403686365217334D-01
 42   4.0094010613995340D-01   6.3578940476013668D-01
 43   4.7966026904508576D-03  -2.4403939858645841D-02
 44   1.9113852335508513D-01   4.8802041447387062D-01
 45   8.7504677573529865D-01   3.2973875411395054D-01
 46   8.3884610819460359D-01   4.7504101550866068D-01
 47   7.1512537284429345D-01   5.6243516023172024D-01
 48   6.2006567806688995D-01   4.6347230578863813D-01
 49   4.6917489991113187D-01   2.5346457193165706D-01
 50   9.7172780124012237D-01  -2.0104799324939311D-02
