 PROBLEM SUMMARY
   problem .....: america   
   nballs ......: 90
   itrial ......: 2425
   kappa .......: 0.15
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 1.7573124999999992D-01
   pol perimeter: 4.0091662046701808D+00

 OPTIMIZATION SUMMARY
   r ......:  3.0968834830265614D-02
   csupn ..:  9.9194329139518089D-09
   istop ..:  2
   ierr ...:  0
   itrial .:  2425
   #evalf .:  1868
   #evalg .:  487
   #evalc .:  2073
   #evalj .:  487
   #evalhl :  499
   outiter :  21
   totiter :  289
   nwcalls :  21
   nwtotit :  210
   opt time:  3.67 seconds

 BALLS (index, center abcissa, center ordinate)
  1   6.0134068271039187D-01   2.8490691321227402D-01
  2   5.8404848649342112D-01   3.2909857065086684D-01
  3   6.1631193774980431D-01   3.5692678221969021D-01
  4   5.8700512500660518D-01   3.8365500076573494D-01
  5   6.3286165837014374D-01   3.9977312798390924D-01
  6   5.8657632393394810D-01   4.3569514296200118D-01
  7   6.3224104271684789D-01   4.5181933788843448D-01
  8   6.7298466400338697D-01   4.4590318989272459D-01
  9   5.9041285228942442D-01   4.8512771150773493D-01
 10   6.4597810709635006D-01   4.9909468214894381D-01
 11   6.9343219117424870D-01   4.9225787560617001D-01
 12   6.9821551070474408D-01   5.8721949050101474D-01
 13   5.8020774521450103D-01   5.3672415285723529D-01
 14   6.2626318885756360D-01   5.3249537780774059D-01
 15   6.8280653927806678D-01   5.4428615603738384D-01
 16   7.3464950180223165D-01   5.1958284237252561D-01
 17   5.4324200202302952D-01   5.7742311735985741D-01
 18   5.9719199134446310D-01   5.8505969710658456D-01
 19   6.4432538440082254D-01   5.7927393415374040D-01
 20   7.4104173282164520D-01   5.5558786871623211D-01
 21   7.5578607611771575D-01   5.9972460159177643D-01
 22   5.5544744383462119D-01   6.1934184004718207D-01
 23   6.1222103942794204D-01   6.3028692446308543D-01
 24   6.5910149281516972D-01   6.2713182874581674D-01
 25   7.1834054298115602D-01   6.2350442169938092D-01
 26   5.3897615411276678D-01   6.5734591025114608D-01
 27   5.8266253052436967D-01   6.6664518726302091D-01
 28   6.3798817124108520D-01   6.7974696246724065D-01
 29   6.8476088018810466D-01   6.6479942140111570D-01
 30   4.9832538530327275D-01   7.2675659736836307D-01
 31   5.5552106670052070D-01   7.1393824116559723D-01
 32   6.0857287556189887D-01   7.1320039319736617D-01
 33   4.0155897097310383D-01   8.0494873012050727D-01
 34   4.3832197525475697D-01   7.6534611364810001D-01
 35   4.8375621344231506D-01   7.7138958179476069D-01
 36   3.6011141968218058D-01   8.4520507696590441D-01
 37   4.1655134668782062D-01   8.4554461086078325D-01
 38   5.4123410044947640D-01   8.1926836972450823D-01
 39   3.3634515505857498D-01   8.9310813604881156D-01
 40   3.8994870250393415D-01   8.8869634738156833D-01
 41   4.4287458231105525D-01   8.7874555161975787D-01
 42   4.8791414407835770D-01   8.8282772042495927D-01
 43   5.3644562941925122D-01   8.7115745513347687D-01
 44   3.1135779061697016D-01   9.4002463399699598D-01
 45   3.6519202435710818D-01   9.3586642355443661D-01
 46   4.1903451092551453D-01   9.2895722917041457D-01
 47   4.6668604489763188D-01   9.2860392926955626D-01
 48   5.2194323457681802D-01   9.2500414832443456D-01
 49   5.6780326758008404D-01   9.1841005772237316D-01
 50   3.3304097289986606D-01   9.8044814740381936D-01
 51   3.8910179734896666D-01   9.7730581567144270D-01
 52   4.4155800687021729D-01   9.7338850923801890D-01
 53   4.9738625590541885D-01   9.7119855382733300D-01
 54   5.5004930775690597D-01   9.7207308228738765D-01
 55   5.9263064822367095D-01   9.7069548765602975D-01
 56   3.2343702662998036D-01   1.0370727569249749D+00
 57   3.6810282681267681D-01   1.0214525528810119D+00
 58   4.2160631585668618D-01   1.0215797604160033D+00
 59   4.7508516733965211D-01   1.0155248829265777D+00
 60   5.2966216478327122D-01   1.0158876503093457D+00
 61   5.8319517042544633D-01   1.0184505905639467D+00
 62   6.3757031277632970D-01   1.0007339529018240D+00
 63   6.6070473736247382D-01   1.0356856311846871D+00
 64   3.4945470240689974D-01   1.0784899506994980D+00
 65   3.9191606790068356D-01   1.0672600241678829D+00
 66   4.4745155007041193D-01   1.0641061602450241D+00
 67   4.9893446027805666D-01   1.0605534444629550D+00
 68   5.9672427633660696D-01   1.0465465577131696D+00
 69   6.2281652139984300D-01   1.0573376797517871D+00
 70   1.6129953902968527D-01   1.1035931367243037D+00
 71   2.2027292956109878D-01   1.1046765930526778D+00
 72   2.9905187971922398D-01   1.0848394501729668D+00
 73   3.6674665844426813D-01   1.1211944291088951D+00
 74   4.1467646653636125D-01   1.1093597134395352D+00
 75   4.6831184394452668D-01   1.1091635283840473D+00
 76   5.1499524375202699D-01   1.1122807664917100D+00
 77   5.9434254588142976D-01   1.0893154274756152D+00
 78   1.5646862196571515D-01   1.1454744658508027D+00
 79   2.1046124543556516D-01   1.1362983587786180D+00
 80   2.6182445632489770D-01   1.1287032225968663D+00
 81   3.1614265686912935D-01   1.1280149432164530D+00
 82   3.9710050605595704D-01   1.1637581423455075D+00
 83   4.4377626346504678D-01   1.1545040782251339D+00
 84   4.9548950931650587D-01   1.1580217485160569D+00
 85   5.4636009598322222D-01   1.1610126536400498D+00
 86   1.9023730126500321D-01   1.1851026059670686D+00
 87   2.4173339081292775D-01   1.1791821617838953D+00
 88   2.9244576654882665D-01   1.1732225853364000D+00
 89   3.4563870003163849D-01   1.1723255024832535D+00
 90   5.3726601400228580D-01   1.2020187196041561D+00
