 PROBLEM SUMMARY
   problem .....: cesaro    
   nballs ......: 60
   itrial ......: 6602
   kappa .......: 0.85
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 7.2201653705684687D-01
   pol perimeter: 7.1111111111111018D+00

 OPTIMIZATION SUMMARY
   r ......:  7.5912252744309711D-02
   csupn ..:  8.2956284064295005D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  6602
   #evalf .:  1471
   #evalg .:  474
   #evalc .:  1681
   #evalj .:  474
   #evalhl :  470
   outiter :  22
   totiter :  250
   nwcalls :  22
   nwtotit :  220
   opt time:  1.65 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.4216177060865591D-01   9.5081027371746096D-01
  2   9.6479795335064900D-01   8.3433936482429272D-01
  3   8.3450693794941022D-01   8.9369649947257435D-01
  4   7.2425195732150482D-01   9.6487650184237050D-01
  5   9.6266171369137932D-01   7.0096058492663627D-01
  6   8.5186104334027024D-01   7.7490285812939697D-01
  7   6.8702180721786521D-01   9.0302135266325145D-01
  8   8.6414395169799296D-01   6.5387742756257872D-01
  9   7.2236107893146662D-01   8.1485573208238615D-01
 10   7.3731367621448884D-01   7.0174405959266228D-01
 11   6.0430235398133814D-01   7.4935399410202652D-01
 12   2.7626290114748209D-01   9.6481729664565430D-01
 13   7.3907484326006190D-01   5.8832957856112666D-01
 14   6.1746351864848281D-01   6.3747261567426594D-01
 15   5.0766009675603929D-01   6.8975772519859424D-01
 16   3.9946280859414957D-01   7.4639646767142764D-01
 17   2.7860148912738791D-01   8.0548771694611176D-01
 18   3.1398019318067355D-01   9.0180903356296738D-01
 19   1.7040860464322596D-01   8.9245263670798580D-01
 20   5.8986021219930282D-02   9.5220600023409485D-01
 21   9.5388328394156974D-01   2.7303388449481358D-01
 22   9.1316852438654361D-01   3.1501870967333673D-01
 23   7.9325632512065547D-01   3.7626467675747211D-01
 24   7.1831441966584275D-01   4.5547047643417804D-01
 25   6.1873780416136737D-01   5.1646181379534217D-01
 26   4.9782300437351867D-01   5.6158934383004644D-01
 27   3.9037369517158332D-01   6.1506054221987949D-01
 28   2.8130973614919735D-01   6.8127228004070683D-01
 29   1.6363989334974186D-01   7.6150062268040253D-01
 30   5.7399347967474715D-02   8.5471882002117716D-01
 31   9.4260065193820974D-01   1.4528117989063150D-01
 32   8.3636010660840077D-01   2.3849937725789391D-01
 33   7.1869026379573642D-01   3.1872772006450800D-01
 34   6.0962630467934609D-01   3.8493945782899364D-01
 35   5.0217699568986562D-01   4.3841065607126134D-01
 36   3.8126219583328508D-01   4.8353818632045376D-01
 37   2.8168558027464591D-01   5.4452952348699923D-01
 38   2.0674367485859249D-01   6.2373532313084101D-01
 39   8.8615506578603981D-02   6.7294080459806238D-01
 40   4.6116715958136163D-02   7.2696611564575453D-01
 41   9.4101397881644611D-01   4.7793999773135309D-02
 42   8.2959139530235948D-01   1.0754736328727123D-01
 43   6.8601980678548946D-01   9.8190966431924653D-02
 44   7.2139851093984020D-01   1.9451228318774264D-01
 45   6.0053719154304519D-01   2.5360353239984729D-01
 46   4.9233990336011030D-01   3.1024227469426541D-01
 47   3.8253648130991480D-01   3.6252738419145247D-01
 48   2.6092515678056422D-01   4.1167042142566196D-01
 49   7.2373709887519078D-01   3.5182703510096697D-02
 50   3.9569764586144035D-01   2.5064600585251745D-01
 51   2.6268632374818335D-01   2.9825594051917470D-01
 52   2.7763892122419043D-01   1.8514426798851699D-01
 53   1.3585604844598237D-01   3.4612257229580340D-01
 54   3.1297819278334810D-01   9.6978647331999804D-02
 55   1.4813895661627510D-01   2.2509714206058437D-01
 56   3.7338286206378288D-02   2.9903941511606658D-01
 57   2.7574804265076630D-01   3.5123498221640938D-02
 58   1.6549306208974182D-01   1.0630350056852422D-01
 59   3.5202046714296040D-02   1.6566063513623375D-01
 60   5.7838229419040342D-02   4.9189726235788538D-02
