 PROBLEM SUMMARY
   problem .....: stoyan    
   nballs ......: 70
   itrial ......: 3715
   kappa .......: 0.48
   sigma1 ......: 0.03
   sigma2 ......: 0.15
   pol area ....: 6.9111111111111101D-01
   pol perimeter: 7.0086495082125433D+00

 OPTIMIZATION SUMMARY
   r ......:  6.8233618694878678D-02
   csupn ..:  8.3418993934714081D-09
   istop ..:  0
   ierr ...:  0
   itrial .:  3715
   #evalf .:  865
   #evalg .:  395
   #evalc .:  1059
   #evalj .:  395
   #evalhl :  395
   outiter :  21
   totiter :  185
   nwcalls :  21
   nwtotit :  210
   opt time:  1.18 seconds

 BALLS (index, center abcissa, center ordinate)
  1   9.0326663065319424D-01   5.8597893165466286D-01
  2   9.7664339644529363D-01   3.9171763047629971D-01
  3   9.4793191413795097D-01   4.9995187583790968D-01
  4   8.1822218124918056D-01   6.2770800522505610D-01
  5   8.7350528691938611D-01   3.2774389086199962D-01
  6   8.5657211374930675D-01   4.3036090811342931D-01
  7   8.1543053255437392D-01   5.1107319731561229D-01
  8   7.1321142255410075D-01   5.7168641180474833D-01
  9   5.5511239394958434D-01   6.1526730927874285D-01
 10   9.6485894914572368D-01   2.6910017987768059D-01
 11   6.5010632891235642D-01   4.8425435461966360D-01
 12   5.1818097373766525D-01   4.9344698789458941D-01
 13   4.6822558113137785D-01   6.1289476555330358D-01
 14   3.6379212171918152D-01   6.3909439515633037D-01
 15   9.5981855243941672D-01   1.5546017019151390D-01
 16   8.5643027792041126D-01   2.1398847034163088D-01
 17   5.8745876269273556D-01   4.0813896837176539D-01
 18   4.1088624513200217D-01   5.1728524180071866D-01
 19   3.2614431943265842D-01   5.2267075838665145D-01
 20   2.5379891906137336D-01   6.1775039859734071D-01
 21   1.4053785768679827D-01   6.4820062885147034D-01
 22   9.9042501075436773D-01  -4.6779329382997815D-02
 23   9.4453732387109046D-01   6.0529531256384203D-02
 24   8.3613843902413654D-01   1.1573666494687282D-01
 25   7.3276442104060047D-01   1.7589101705179810D-01
 26   6.3072230371098237D-01   2.4759161573808355D-01
 27   5.4496002398601950D-01   3.1223463409872909D-01
 28   4.6024552019012382D-01   3.9501320114657590D-01
 29   2.3871483043112993D-01   5.1471678020709843D-01
 30   1.3693022485740058D-01   5.5415723167391240D-01
 31   3.7424577002779943D-02   6.0960910623305642D-01
 32   9.5180747261285226D-01  -1.6264640636946195D-01
 33   8.8984049795997788D-01  -5.8212679206010906D-02
 34   8.3116728058412892D-01   9.3901537567360159D-03
 35   7.2307834467160104D-01   6.5981592986525506D-02
 36   6.2096897432272402D-01   1.3762560720465461D-01
 37   5.2270500710904810D-01   1.9086223705367550D-01
 38   4.3910415260826274D-01   2.7395059984067582D-01
 39   3.6728117491317885D-01   3.4476432350711772D-01
 40   1.3560393876137922D-01   4.3919701920266341D-01
 41   3.1461892974206970D-02   4.9200202733285531D-01
 42   9.6979728685290423D-01  -2.7214818057645207D-01
 43   8.4483995052192384D-01  -1.7360054991898216D-01
 44   7.7546589416911094D-01  -1.0844215597426617D-01
 45   7.1680412711193831D-01  -3.9676688890160489D-02
 46   6.2982334605088908D-01   1.6177127292232339D-02
 47   5.3798678585392612D-01   6.3275948625709677D-02
 48   4.4102772300811893D-01   1.3961993975131942D-01
 49   3.4313733450868006D-01   1.8308268801068131D-01
 50   1.6516697026008148D-01   3.3014482097197134D-01
 51   4.5474132559535412D-02   3.8056861397555991D-01
 52   8.9953493350264768D-01  -2.7808694929572164D-01
 53   4.4706703700994199D-01   1.9585422359743629D-02
 54   3.4409007966131971D-01   6.9254928275700331D-02
 55   2.3987502118535486D-01   1.4277002005036896D-01
 56   1.3572512628232772D-01   2.1294696689082576D-01
 57   5.1711041847508410D-02   2.8517424620753790D-01
 58   3.2957843858304270D-01  -3.5771385906388162D-02
 59   2.2858830789791423D-01   3.9095881014921750D-02
 60   1.2934465998425093D-01   1.0317036808472570D-01
 61   2.6165567834674747D-02   1.7762670883656431D-01
 62   2.3556232334066282D-01  -8.2020504276062903D-02
 63   1.3427625963256457D-01  -2.0591538824090795D-02
 64   3.7161433134818796D-02   5.7376421106512310D-02
 65   1.8977289752125612D-01  -1.7702719539681755D-01
 66   1.3018375450763039D-01  -1.3750556057260477D-01
 67   3.1092602487532341D-02  -6.0590906363555172D-02
 68   1.1032832273406271D-01  -2.6909209082339991D-01
 69   4.2271476845713328D-02  -1.7489663304002795D-01
 70   4.3661875001713556D-02  -2.8089796941079787D-01
